method_num,method,column,eval_prefix,variant,task,value,file
4,New + PMI + fsx,PMI self,self-,tc,rosch-vehicle,0.7703652108621919,scores_self-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-vehicle_test_log-odds_tc_20260612.csv
4,New + PMI + fsx,PMI self,self-,tc,rosch-weapon,0.7572821432213914,scores_self-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-weapon_test_log-odds_tc_20260612.csv
4,New + PMI + fsx,PMI base,basetyp-,tc,rosch-bird,0.7495452922877284,scores_basetyp-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-bird_test_log-odds_tc_20260609.csv
4,New + PMI + fsx,PMI base,basetyp-,tc,rosch-carpenters-tool,0.633056880112822,scores_basetyp-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-carpenters-tool_test_log-odds_tc_20260609.csv
4,New + PMI + fsx,PMI base,basetyp-,tc,rosch-clothing,0.7780395135866366,scores_basetyp-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-clothing_test_log-odds_tc_20260609.csv
4,New + PMI + fsx,PMI base,basetyp-,tc,rosch-fruit,0.8232774778939556,scores_basetyp-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-fruit_test_log-odds_tc_20260609.csv
4,New + PMI + fsx,PMI base,basetyp-,tc,rosch-furniture,0.8306013497931833,scores_basetyp-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-furniture_test_log-odds_tc_20260609.csv
4,New + PMI + fsx,PMI base,basetyp-,tc,rosch-sport,0.8089564667190261,scores_basetyp-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-sport_test_log-odds_tc_20260609.csv
4,New + PMI + fsx,PMI base,basetyp-,tc,rosch-toy,0.6499807090509382,scores_basetyp-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-toy_test_log-odds_tc_20260609.csv
4,New + PMI + fsx,PMI base,basetyp-,tc,rosch-vegetable,0.7847802706162803,scores_basetyp-v7-gemma-2-9b-it-d2.69-e2-membership-sans-rosch-v0-all-tcs-nv1-ng1-vlo-fsx-ppd-sm0.1-fix1_rosch-vegetable_test_log-odds_tc_20260609.csv
